0.01.274.592 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.434.982 I srv    load_model: loading model '/work/GLM-5.2-GGUF/REAP50/GLM-5.2-REAP50-Q3_K_M-00001-of-00005.gguf'
0.03.384.478 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
0.03.384.490 W load: special_eom_id is not in special_eog_ids - the tokenizer config may be incorrect
2.02.682.621 I srv    load_model: initializing, n_slots = 8, n_ctx_slot = 2048, kv_unified = 'false'
2.02.708.117 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
2.02.708.170 I srv  llama_server: model loaded
2.02.708.177 I srv  llama_server: listening on http://127.0.0.1:8080
2.30.630.013 I slot get_availabl: id  7 | task -1 | selected slot by LRU, t_last = -1
2.33.106.272 I slot print_timing: id  3 | task 5 | prompt eval time =     854.32 ms /    46 tokens (   18.57 ms per token,    53.84 tokens per second)
2.33.106.284 I slot print_timing: id  3 | task 5 |        eval time =     859.64 ms /    12 tokens (   71.64 ms per token,    13.96 tokens per second)
2.33.106.285 I slot print_timing: id  3 | task 5 |       total time =    1713.97 ms /    58 tokens
2.33.106.292 I slot print_timing: id  3 | task 5 |    graphs reused =         11
2.33.106.426 I slot      release: id  3 | task 5 | stop processing: n_tokens = 57, truncated = 0
2.33.188.896 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.130 (> 0.100 thold), f_keep = 0.053
2.33.191.741 I slot launch_slot_: id  3 | task 22 | processing task, is_child = 0
2.39.991.003 I slot print_timing: id  6 | task 1 | n_decoded =    100, tg =  11.63 t/s, tg_3s =  11.63 t/s
2.39.991.327 I slot print_timing: id  7 | task 0 | n_decoded =    100, tg =  11.63 t/s, tg_3s =  11.63 t/s
2.40.067.756 I slot print_timing: id  0 | task 7 | n_decoded =    100, tg =  12.78 t/s, tg_3s =  12.78 t/s
2.40.068.079 I slot print_timing: id  1 | task 8 | n_decoded =    100, tg =  12.78 t/s, tg_3s =  12.78 t/s
2.40.068.401 I slot print_timing: id  2 | task 6 | n_decoded =    100, tg =  12.78 t/s, tg_3s =  12.78 t/s
2.40.069.057 I slot print_timing: id  4 | task 4 | n_decoded =    100, tg =  12.79 t/s, tg_3s =  12.79 t/s
2.40.069.376 I slot print_timing: id  5 | task 3 | n_decoded =    100, tg =  12.79 t/s, tg_3s =  12.79 t/s
2.41.085.665 I slot print_timing: id  3 | task 22 | n_decoded =    100, tg =  12.90 t/s, tg_3s =  12.90 t/s
2.41.320.720 I slot print_timing: id  3 | task 22 | prompt eval time =     142.47 ms /    20 tokens (    7.12 ms per token,   140.38 tokens per second)
2.41.320.729 I slot print_timing: id  3 | task 22 |        eval time =    7986.48 ms /   103 tokens (   77.54 ms per token,    12.90 tokens per second)
2.41.320.730 I slot print_timing: id  3 | task 22 |       total time =    8128.95 ms /   123 tokens
2.41.320.738 I slot print_timing: id  3 | task 22 |    graphs reused =        112
2.41.320.806 I slot      release: id  3 | task 22 | stop processing: n_tokens = 125, truncated = 0
2.41.399.216 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 416293111076
2.41.404.414 I slot launch_slot_: id  3 | task 127 | processing task, is_child = 0
2.43.041.262 I slot print_timing: id  6 | task 1 | n_decoded =    137, tg =  11.76 t/s, tg_3s =  12.13 t/s
2.43.041.592 I slot print_timing: id  7 | task 0 | n_decoded =    137, tg =  11.76 t/s, tg_3s =  12.13 t/s
2.43.117.902 I slot print_timing: id  0 | task 7 | n_decoded =    137, tg =  12.60 t/s, tg_3s =  12.13 t/s
2.43.118.223 I slot print_timing: id  1 | task 8 | n_decoded =    137, tg =  12.60 t/s, tg_3s =  12.13 t/s
2.43.118.553 I slot print_timing: id  2 | task 6 | n_decoded =    137, tg =  12.60 t/s, tg_3s =  12.13 t/s
2.43.119.206 I slot print_timing: id  4 | task 4 | n_decoded =    137, tg =  12.60 t/s, tg_3s =  12.13 t/s
2.43.119.535 I slot print_timing: id  5 | task 3 | n_decoded =    137, tg =  12.60 t/s, tg_3s =  12.13 t/s
2.44.221.144 I slot print_timing: id  1 | task 8 | prompt eval time =     851.65 ms /    82 tokens (   10.39 ms per token,    96.28 tokens per second)
2.44.221.154 I slot print_timing: id  1 | task 8 |        eval time =   11977.22 ms /   151 tokens (   79.32 ms per token,    12.61 tokens per second)
2.44.221.154 I slot print_timing: id  1 | task 8 |       total time =   12828.87 ms /   233 tokens
2.44.221.155 I slot print_timing: id  1 | task 8 |    graphs reused =        144
2.44.221.287 I slot      release: id  1 | task 8 | stop processing: n_tokens = 232, truncated = 0
2.44.315.461 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.154 (> 0.100 thold), f_keep = 0.017
2.44.324.079 I slot launch_slot_: id  1 | task 163 | processing task, is_child = 0
2.44.635.328 I slot print_timing: id  0 | task 7 | prompt eval time =     850.27 ms /    79 tokens (   10.76 ms per token,    92.91 tokens per second)
2.44.635.339 I slot print_timing: id  0 | task 7 |        eval time =   12392.80 ms /   155 tokens (   79.95 ms per token,    12.51 tokens per second)
2.44.635.339 I slot print_timing: id  0 | task 7 |       total time =   13243.07 ms /   234 tokens
2.44.635.341 I slot print_timing: id  0 | task 7 |    graphs reused =        145
2.44.635.443 I slot      release: id  0 | task 7 | stop processing: n_tokens = 233, truncated = 0
2.44.720.557 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 416296425712
2.44.729.141 I slot launch_slot_: id  0 | task 168 | processing task, is_child = 0
2.46.108.753 I slot print_timing: id  6 | task 1 | n_decoded =    173, tg =  11.75 t/s, tg_3s =  11.74 t/s
2.46.109.090 I slot print_timing: id  7 | task 0 | n_decoded =    173, tg =  11.76 t/s, tg_3s =  11.74 t/s
2.46.186.220 I slot print_timing: id  2 | task 6 | n_decoded =    173, tg =  12.41 t/s, tg_3s =  11.74 t/s
2.46.186.874 I slot print_timing: id  4 | task 4 | n_decoded =    173, tg =  12.41 t/s, tg_3s =  11.74 t/s
2.46.187.196 I slot print_timing: id  5 | task 3 | n_decoded =    173, tg =  12.41 t/s, tg_3s =  11.74 t/s
2.49.145.207 I slot print_timing: id  6 | task 1 | n_decoded =    211, tg =  11.88 t/s, tg_3s =  12.51 t/s
2.49.145.542 I slot print_timing: id  7 | task 0 | n_decoded =    211, tg =  11.89 t/s, tg_3s =  12.51 t/s
2.49.223.565 I slot print_timing: id  2 | task 6 | n_decoded =    211, tg =  12.43 t/s, tg_3s =  12.51 t/s
2.49.224.229 I slot print_timing: id  4 | task 4 | n_decoded =    211, tg =  12.43 t/s, tg_3s =  12.51 t/s
2.49.224.552 I slot print_timing: id  5 | task 3 | n_decoded =    211, tg =  12.43 t/s, tg_3s =  12.51 t/s
2.49.703.148 I slot print_timing: id  3 | task 127 | n_decoded =    100, tg =  12.38 t/s, tg_3s =  12.38 t/s
2.52.180.740 I slot print_timing: id  6 | task 1 | n_decoded =    249, tg =  11.98 t/s, tg_3s =  12.52 t/s
2.52.181.074 I slot print_timing: id  7 | task 0 | n_decoded =    249, tg =  11.98 t/s, tg_3s =  12.52 t/s
2.52.258.833 I slot print_timing: id  2 | task 6 | n_decoded =    249, tg =  12.44 t/s, tg_3s =  12.52 t/s
2.52.259.466 I slot print_timing: id  4 | task 4 | n_decoded =    249, tg =  12.44 t/s, tg_3s =  12.52 t/s
2.52.259.798 I slot print_timing: id  5 | task 3 | n_decoded =    249, tg =  12.44 t/s, tg_3s =  12.52 t/s
2.52.497.905 I slot print_timing: id  1 | task 163 | n_decoded =    100, tg =  12.46 t/s, tg_3s =  12.46 t/s
2.52.736.874 I slot print_timing: id  3 | task 127 | n_decoded =    138, tg =  12.42 t/s, tg_3s =  12.53 t/s
2.52.814.441 I slot print_timing: id  0 | task 168 | n_decoded =    100, tg =  12.65 t/s, tg_3s =  12.65 t/s
2.53.370.545 I slot print_timing: id  4 | task 4 | prompt eval time =     855.66 ms /    51 tokens (   16.78 ms per token,    59.60 tokens per second)
2.53.370.556 I slot print_timing: id  4 | task 4 |        eval time =   21122.57 ms /   263 tokens (   80.31 ms per token,    12.45 tokens per second)
2.53.370.557 I slot print_timing: id  4 | task 4 |       total time =   21978.23 ms /   314 tokens
2.53.370.558 I slot print_timing: id  4 | task 4 |    graphs reused =        250
2.53.370.699 I slot      release: id  4 | task 4 | stop processing: n_tokens = 313, truncated = 0
2.53.371.036 I slot print_timing: id  5 | task 3 | prompt eval time =     856.96 ms /    44 tokens (   19.48 ms per token,    51.34 tokens per second)
2.53.371.038 I slot print_timing: id  5 | task 3 |        eval time =   21121.76 ms /   263 tokens (   80.31 ms per token,    12.45 tokens per second)
2.53.371.039 I slot print_timing: id  5 | task 3 |       total time =   21978.73 ms /   307 tokens
2.53.371.039 I slot print_timing: id  5 | task 3 |    graphs reused =        250
2.53.371.140 I slot      release: id  5 | task 3 | stop processing: n_tokens = 306, truncated = 0
2.53.432.020 I slot get_availabl: id  5 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.016
2.53.442.995 I slot launch_slot_: id  5 | task 278 | processing task, is_child = 0
2.53.453.810 I slot get_availabl: id  4 | task -1 | selected slot by LRU, t_last = 416305160969
2.53.453.892 I slot launch_slot_: id  4 | task 277 | processing task, is_child = 0
2.55.254.502 I slot print_timing: id  6 | task 1 | n_decoded =    285, tg =  11.94 t/s, tg_3s =  11.71 t/s
2.55.254.837 I slot print_timing: id  7 | task 0 | n_decoded =    285, tg =  11.94 t/s, tg_3s =  11.71 t/s
2.55.334.830 I slot print_timing: id  2 | task 6 | n_decoded =    285, tg =  12.34 t/s, tg_3s =  11.70 t/s
2.55.577.130 I slot print_timing: id  1 | task 163 | n_decoded =    136, tg =  12.25 t/s, tg_3s =  11.69 t/s
2.55.738.258 I slot print_timing: id  3 | task 127 | n_decoded =    173, tg =  12.26 t/s, tg_3s =  11.66 t/s
2.55.817.914 I slot print_timing: id  0 | task 168 | n_decoded =    135, tg =  12.38 t/s, tg_3s =  11.65 t/s
2.58.302.557 I slot print_timing: id  6 | task 1 | n_decoded =    323, tg =  12.00 t/s, tg_3s =  12.47 t/s
2.58.302.889 I slot print_timing: id  7 | task 0 | n_decoded =    323, tg =  12.00 t/s, tg_3s =  12.47 t/s
2.58.381.324 I slot print_timing: id  2 | task 6 | n_decoded =    323, tg =  12.36 t/s, tg_3s =  12.47 t/s
2.58.621.315 I slot print_timing: id  1 | task 163 | n_decoded =    174, tg =  12.30 t/s, tg_3s =  12.48 t/s
2.58.782.249 I slot print_timing: id  3 | task 127 | n_decoded =    211, tg =  12.30 t/s, tg_3s =  12.48 t/s
2.58.861.348 I slot print_timing: id  0 | task 168 | n_decoded =    173, tg =  12.40 t/s, tg_3s =  12.49 t/s
3.01.344.217 I slot print_timing: id  2 | task 6 | prompt eval time =     853.00 ms /    48 tokens (   17.77 ms per token,    56.27 tokens per second)
3.01.344.228 I slot print_timing: id  2 | task 6 |        eval time =   29098.92 ms /   360 tokens (   80.83 ms per token,    12.37 tokens per second)
3.01.344.229 I slot print_timing: id  2 | task 6 |       total time =   29951.92 ms /   408 tokens
3.01.344.230 I slot print_timing: id  2 | task 6 |    graphs reused =        344
3.01.344.351 I slot      release: id  2 | task 6 | stop processing: n_tokens = 407, truncated = 0
3.01.345.653 I slot print_timing: id  6 | task 1 | n_decoded =    361, tg =  12.05 t/s, tg_3s =  12.49 t/s
3.01.345.981 I slot print_timing: id  7 | task 0 | n_decoded =    361, tg =  12.05 t/s, tg_3s =  12.49 t/s
3.01.431.128 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.217 (> 0.100 thold), f_keep = 0.012
3.01.445.489 I slot launch_slot_: id  2 | task 376 | processing task, is_child = 0
3.01.666.719 I slot print_timing: id  1 | task 163 | n_decoded =    211, tg =  12.27 t/s, tg_3s =  12.15 t/s
3.01.750.941 I slot print_timing: id  4 | task 277 | n_decoded =    100, tg =  12.46 t/s, tg_3s =  12.46 t/s
3.01.751.269 I slot print_timing: id  5 | task 278 | n_decoded =    100, tg =  12.46 t/s, tg_3s =  12.46 t/s
3.01.831.114 I slot print_timing: id  3 | task 127 | n_decoded =    248, tg =  12.27 t/s, tg_3s =  12.14 t/s
3.01.909.813 I slot print_timing: id  0 | task 168 | n_decoded =    210, tg =  12.35 t/s, tg_3s =  12.14 t/s
3.04.394.717 I slot print_timing: id  6 | task 1 | n_decoded =    398, tg =  12.06 t/s, tg_3s =  12.13 t/s
3.04.395.061 I slot print_timing: id  7 | task 0 | n_decoded =    398, tg =  12.06 t/s, tg_3s =  12.13 t/s
3.04.712.410 I slot print_timing: id  1 | task 163 | n_decoded =    249, tg =  12.30 t/s, tg_3s =  12.48 t/s
3.04.792.588 I slot print_timing: id  4 | task 277 | n_decoded =    138, tg =  12.47 t/s, tg_3s =  12.49 t/s
3.04.792.928 I slot print_timing: id  5 | task 278 | n_decoded =    138, tg =  12.47 t/s, tg_3s =  12.49 t/s
3.04.872.273 I slot print_timing: id  3 | task 127 | n_decoded =    286, tg =  12.30 t/s, tg_3s =  12.50 t/s
3.04.951.165 I slot print_timing: id  0 | task 168 | n_decoded =    248, tg =  12.37 t/s, tg_3s =  12.49 t/s
3.07.029.895 I slot print_timing: id  0 | task 168 | prompt eval time =     180.28 ms /    38 tokens (    4.74 ms per token,   210.78 tokens per second)
3.07.029.903 I slot print_timing: id  0 | task 168 |        eval time =   22120.44 ms /   274 tokens (   80.73 ms per token,    12.39 tokens per second)
3.07.029.904 I slot print_timing: id  0 | task 168 |       total time =   22300.72 ms /   312 tokens
3.07.029.905 I slot print_timing: id  0 | task 168 |    graphs reused =        411
3.07.029.992 I slot      release: id  0 | task 168 | stop processing: n_tokens = 314, truncated = 0
3.07.108.749 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 416318820262
3.07.119.912 I slot launch_slot_: id  0 | task 447 | processing task, is_child = 0
3.07.467.584 I slot print_timing: id  6 | task 1 | n_decoded =    435, tg =  12.06 t/s, tg_3s =  12.04 t/s
3.07.467.928 I slot print_timing: id  7 | task 0 | n_decoded =    435, tg =  12.06 t/s, tg_3s =  12.04 t/s
3.07.788.102 I slot print_timing: id  1 | task 163 | n_decoded =    286, tg =  12.27 t/s, tg_3s =  12.03 t/s
3.07.869.859 I slot print_timing: id  4 | task 277 | n_decoded =    175, tg =  12.37 t/s, tg_3s =  12.02 t/s
3.07.870.194 I slot print_timing: id  5 | task 278 | n_decoded =    175, tg =  12.37 t/s, tg_3s =  12.02 t/s
3.07.950.105 I slot print_timing: id  3 | task 127 | n_decoded =    323, tg =  12.27 t/s, tg_3s =  12.02 t/s
3.09.632.407 I slot print_timing: id  2 | task 376 | n_decoded =    100, tg =  12.42 t/s, tg_3s =  12.42 t/s
3.10.517.095 I slot print_timing: id  6 | task 1 | n_decoded =    473, tg =  12.09 t/s, tg_3s =  12.46 t/s
3.10.517.421 I slot print_timing: id  7 | task 0 | n_decoded =    473, tg =  12.09 t/s, tg_3s =  12.46 t/s
3.10.836.627 I slot print_timing: id  1 | task 163 | n_decoded =    324, tg =  12.29 t/s, tg_3s =  12.47 t/s
3.10.917.809 I slot print_timing: id  4 | task 277 | n_decoded =    213, tg =  12.39 t/s, tg_3s =  12.47 t/s
3.10.918.151 I slot print_timing: id  5 | task 278 | n_decoded =    213, tg =  12.39 t/s, tg_3s =  12.47 t/s
3.10.997.063 I slot print_timing: id  3 | task 127 | n_decoded =    361, tg =  12.29 t/s, tg_3s =  12.47 t/s
3.12.682.521 I slot print_timing: id  2 | task 376 | n_decoded =    138, tg =  12.43 t/s, tg_3s =  12.46 t/s
3.13.085.818 I slot print_timing: id  6 | task 1 | prompt eval time =     760.41 ms /    81 tokens (    9.39 ms per token,   106.52 tokens per second)
3.13.085.830 I slot print_timing: id  6 | task 1 |        eval time =   41695.09 ms /   505 tokens (   82.56 ms per token,    12.11 tokens per second)
3.13.085.831 I slot print_timing: id  6 | task 1 |       total time =   42455.51 ms /   586 tokens
3.13.085.836 I slot print_timing: id  6 | task 1 |    graphs reused =        482
3.13.085.968 I slot      release: id  6 | task 1 | stop processing: n_tokens = 585, truncated = 0
3.13.158.899 I slot get_availabl: id  6 | task -1 | selected slot by LRU, t_last = 416324876238
3.13.178.928 I slot launch_slot_: id  6 | task 522 | processing task, is_child = 0
3.13.520.700 I slot print_timing: id  7 | task 0 | n_decoded =    509, tg =  12.08 t/s, tg_3s =  11.99 t/s
3.13.842.354 I slot print_timing: id  1 | task 163 | n_decoded =    360, tg =  12.26 t/s, tg_3s =  11.98 t/s
3.13.843.974 I slot print_timing: id  6 | task 522 | prompt eval time =     174.65 ms /    32 tokens (    5.46 ms per token,   183.23 tokens per second)
3.13.843.978 I slot print_timing: id  6 | task 522 |        eval time =     490.36 ms /     7 tokens (   70.05 ms per token,    14.28 tokens per second)
3.13.843.979 I slot print_timing: id  6 | task 522 |       total time =     665.01 ms /    39 tokens
3.13.843.980 I slot print_timing: id  6 | task 522 |    graphs reused =        487
3.13.844.063 I slot      release: id  6 | task 522 | stop processing: n_tokens = 41, truncated = 0
3.13.914.446 I slot get_availabl: id  6 | task -1 | selected slot by LRU, t_last = 416325634332
3.13.916.803 I slot launch_slot_: id  6 | task 531 | processing task, is_child = 0
3.14.084.587 I slot print_timing: id  3 | task 127 | n_decoded =    397, tg =  12.23 t/s, tg_3s =  11.66 t/s
3.14.084.927 I slot print_timing: id  4 | task 277 | n_decoded =    250, tg =  12.28 t/s, tg_3s =  11.68 t/s
3.14.085.255 I slot print_timing: id  5 | task 278 | n_decoded =    250, tg =  12.28 t/s, tg_3s =  11.68 t/s
3.15.459.923 I slot print_timing: id  0 | task 447 | n_decoded =    100, tg =  12.25 t/s, tg_3s =  12.25 t/s
3.15.701.756 I slot print_timing: id  2 | task 376 | n_decoded =    173, tg =  12.25 t/s, tg_3s =  11.59 t/s
3.16.586.345 I slot print_timing: id  7 | task 0 | n_decoded =    546, tg =  12.08 t/s, tg_3s =  12.07 t/s
3.16.906.416 I slot print_timing: id  1 | task 163 | n_decoded =    397, tg =  12.24 t/s, tg_3s =  12.08 t/s
3.16.908.206 I slot print_timing: id  6 | task 531 | prompt eval time =     168.88 ms /    31 tokens (    5.45 ms per token,   183.56 tokens per second)
3.16.908.210 I slot print_timing: id  6 | task 531 |        eval time =    2822.50 ms /    36 tokens (   78.40 ms per token,    12.75 tokens per second)
3.16.908.211 I slot print_timing: id  6 | task 531 |       total time =    2991.38 ms /    67 tokens
3.16.908.212 I slot print_timing: id  6 | task 531 |    graphs reused =        521
3.16.908.273 I slot      release: id  6 | task 531 | stop processing: n_tokens = 69, truncated = 0
3.16.978.702 I slot get_availabl: id  6 | task -1 | selected slot by LCP similarity, sim_best = 0.115 (> 0.100 thold), f_keep = 0.043
3.16.981.912 I slot launch_slot_: id  6 | task 569 | processing task, is_child = 0
3.17.127.816 I slot print_timing: id  3 | task 127 | n_decoded =    434, tg =  12.22 t/s, tg_3s =  12.16 t/s
3.17.128.155 I slot print_timing: id  4 | task 277 | n_decoded =    287, tg =  12.26 t/s, tg_3s =  12.16 t/s
3.17.128.485 I slot print_timing: id  5 | task 278 | n_decoded =    287, tg =  12.26 t/s, tg_3s =  12.16 t/s
3.18.498.649 I slot print_timing: id  0 | task 447 | n_decoded =    137, tg =  12.23 t/s, tg_3s =  12.18 t/s
3.18.740.504 I slot print_timing: id  2 | task 376 | n_decoded =    210, tg =  12.24 t/s, tg_3s =  12.18 t/s
3.19.626.908 I slot print_timing: id  7 | task 0 | n_decoded =    583, tg =  12.09 t/s, tg_3s =  12.17 t/s
3.19.946.775 I slot print_timing: id  1 | task 163 | n_decoded =    434, tg =  12.23 t/s, tg_3s =  12.17 t/s
3.20.188.494 I slot print_timing: id  3 | task 127 | n_decoded =    472, tg =  12.24 t/s, tg_3s =  12.42 t/s
3.20.188.836 I slot print_timing: id  4 | task 277 | n_decoded =    325, tg =  12.28 t/s, tg_3s =  12.42 t/s
3.20.189.166 I slot print_timing: id  5 | task 278 | n_decoded =    325, tg =  12.28 t/s, tg_3s =  12.42 t/s
3.21.551.672 I slot print_timing: id  0 | task 447 | n_decoded =    175, tg =  12.28 t/s, tg_3s =  12.45 t/s
3.21.792.894 I slot print_timing: id  2 | task 376 | n_decoded =    248, tg =  12.27 t/s, tg_3s =  12.45 t/s
3.22.674.333 I slot print_timing: id  7 | task 0 | n_decoded =    621, tg =  12.11 t/s, tg_3s =  12.47 t/s
3.22.992.629 I slot print_timing: id  1 | task 163 | n_decoded =    472, tg =  12.25 t/s, tg_3s =  12.48 t/s
3.23.235.688 I slot print_timing: id  3 | task 127 | n_decoded =    510, tg =  12.26 t/s, tg_3s =  12.47 t/s
3.23.236.032 I slot print_timing: id  4 | task 277 | n_decoded =    363, tg =  12.30 t/s, tg_3s =  12.47 t/s
3.23.236.352 I slot print_timing: id  5 | task 278 | n_decoded =    363, tg =  12.30 t/s, tg_3s =  12.47 t/s
3.24.601.688 I slot print_timing: id  0 | task 447 | n_decoded =    213, tg =  12.31 t/s, tg_3s =  12.46 t/s
3.24.846.896 I slot print_timing: id  2 | task 376 | n_decoded =    286, tg =  12.29 t/s, tg_3s =  12.44 t/s
3.25.089.421 I slot print_timing: id  6 | task 569 | n_decoded =    100, tg =  12.56 t/s, tg_3s =  12.56 t/s
3.25.732.327 I slot print_timing: id  7 | task 0 | n_decoded =    659, tg =  12.13 t/s, tg_3s =  12.43 t/s
3.25.811.961 I slot print_timing: id  4 | task 277 | prompt eval time =     273.20 ms /    37 tokens (    7.38 ms per token,   135.43 tokens per second)
3.25.811.968 I slot print_timing: id  4 | task 277 |        eval time =   32084.84 ms /   395 tokens (   81.23 ms per token,    12.31 tokens per second)
3.25.811.968 I slot print_timing: id  4 | task 277 |       total time =   32358.04 ms /   432 tokens
3.25.811.970 I slot print_timing: id  4 | task 277 |    graphs reused =        628
3.25.812.069 I slot      release: id  4 | task 277 | stop processing: n_tokens = 435, truncated = 0
3.25.881.408 I slot get_availabl: id  4 | task -1 | selected slot by LRU, t_last = 416337602338
3.25.898.255 I slot launch_slot_: id  4 | task 680 | processing task, is_child = 0
3.26.067.025 I slot print_timing: id  1 | task 163 | n_decoded =    509, tg =  12.24 t/s, tg_3s =  12.03 t/s
3.26.315.253 I slot print_timing: id  3 | task 127 | n_decoded =    547, tg =  12.24 t/s, tg_3s =  12.01 t/s
3.26.315.918 I slot print_timing: id  5 | task 278 | n_decoded =    400, tg =  12.27 t/s, tg_3s =  12.01 t/s
3.26.956.803 I slot print_timing: id  0 | task 447 | prompt eval time =     178.57 ms /    38 tokens (    4.70 ms per token,   212.80 tokens per second)
3.26.956.810 I slot print_timing: id  0 | task 447 |        eval time =   19658.28 ms /   241 tokens (   81.57 ms per token,    12.26 tokens per second)
3.26.956.811 I slot print_timing: id  0 | task 447 |       total time =   19836.85 ms /   279 tokens
3.26.956.818 I slot print_timing: id  0 | task 447 |    graphs reused =        638
3.26.956.908 I slot      release: id  0 | task 447 | stop processing: n_tokens = 281, truncated = 0
3.27.034.854 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 416338747178
3.27.045.424 I slot launch_slot_: id  0 | task 694 | processing task, is_child = 0
3.27.892.749 I slot print_timing: id  2 | task 376 | n_decoded =    321, tg =  12.20 t/s, tg_3s =  11.49 t/s
3.28.133.139 I slot print_timing: id  6 | task 569 | n_decoded =    135, tg =  12.27 t/s, tg_3s =  11.50 t/s
3.28.773.242 I slot print_timing: id  7 | task 0 | n_decoded =    694, tg =  12.09 t/s, tg_3s =  11.51 t/s
3.29.091.536 I slot print_timing: id  1 | task 163 | n_decoded =    545, tg =  12.21 t/s, tg_3s =  11.90 t/s
3.29.331.802 I slot print_timing: id  3 | task 127 | n_decoded =    583, tg =  12.22 t/s, tg_3s =  11.93 t/s
3.29.332.453 I slot print_timing: id  5 | task 278 | n_decoded =    436, tg =  12.25 t/s, tg_3s =  11.93 t/s
3.30.931.139 I slot print_timing: id  2 | task 376 | n_decoded =    359, tg =  12.23 t/s, tg_3s =  12.51 t/s
3.31.171.899 I slot print_timing: id  6 | task 569 | n_decoded =    173, tg =  12.32 t/s, tg_3s =  12.51 t/s
3.31.824.561 I slot print_timing: id  7 | task 0 | n_decoded =    732, tg =  12.11 t/s, tg_3s =  12.45 t/s
3.32.145.187 I slot print_timing: id  1 | task 163 | n_decoded =    583, tg =  12.23 t/s, tg_3s =  12.44 t/s
3.32.387.660 I slot print_timing: id  3 | task 127 | n_decoded =    621, tg =  12.23 t/s, tg_3s =  12.44 t/s
3.32.388.320 I slot print_timing: id  5 | task 278 | n_decoded =    474, tg =  12.26 t/s, tg_3s =  12.44 t/s
3.33.999.981 I slot print_timing: id  2 | task 376 | n_decoded =    397, tg =  12.25 t/s, tg_3s =  12.38 t/s
3.34.161.929 I slot print_timing: id  4 | task 680 | n_decoded =    100, tg =  12.36 t/s, tg_3s =  12.36 t/s
3.34.241.497 I slot print_timing: id  1 | task 163 | prompt eval time =     147.36 ms /    22 tokens (    6.70 ms per token,   149.29 tokens per second)
3.34.241.504 I slot print_timing: id  1 | task 163 |        eval time =   49770.03 ms /   609 tokens (   81.72 ms per token,    12.24 tokens per second)
3.34.241.505 I slot print_timing: id  1 | task 163 |       total time =   49917.39 ms /   631 tokens
3.34.241.506 I slot print_timing: id  1 | task 163 |    graphs reused =        724
3.34.241.592 I slot      release: id  1 | task 163 | stop processing: n_tokens = 634, truncated = 0
3.34.243.237 I slot print_timing: id  6 | task 569 | n_decoded =    211, tg =  12.33 t/s, tg_3s =  12.37 t/s
3.34.329.164 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 416346031862
