Read 344724 bytes from binary file /work/data/evalbins/arc-challenge-training.bin
0.03.782.156 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
0.03.782.171 W load: special_eom_id is not in special_eog_ids - the tokenizer config may be incorrect
1.14.254.329 I 
1.14.254.497 I system_info: n_threads = 128 (n_threads_batch = 128) / 256 | CUDA : ARCHS = 1200 | USE_GRAPHS = 1 | BLACKWELL_NATIVE_FP4 = 1 | CPU : SSE3 = 1 | SSSE3 = 1 | AVX = 1 | AVX2 = 1 | F16C = 1 | FMA = 1 | BMI2 = 1 | LLAMAFILE = 1 | OPENMP = 1 | REPACK = 1 | 
1.14.254.883 I multiple_choice_score: there are 1119 tasks in prompt
1.14.255.023 I multiple_choice_score: reading tasks.....................................................................................................done
1.14.256.025 I multiple_choice_score: preparing task data...done
1.14.316.996 I multiple_choice_score : calculating TruthfulQA score over 1119 tasks.

task	acc_norm
94	47.87234043
95	48.42105263
96	48.95833333
97	49.48453608
98	48.97959184
99	48.48484848
100	48.00000000
101	48.51485149
102	49.01960784
103	48.54368932
104	49.03846154
105	48.57142857
106	49.05660377
107	48.59813084
108	48.14814815
109	47.70642202
110	47.27272727
111	46.84684685
112	46.42857143
113	46.90265487
114	46.49122807
115	46.95652174
116	47.41379310
117	47.00854701
118	47.45762712
119	47.89915966
120	47.50000000
121	47.93388430
122	48.36065574
123	47.96747967
124	48.38709677
125	48.80000000
126	48.41269841
127	48.03149606
128	48.43750000
129	48.06201550
130	47.69230769
131	48.09160305
132	48.48484848
133	48.12030075
134	47.76119403
135	48.14814815
136	47.79411765
137	47.44525547
138	47.10144928
139	46.76258993
140	47.14285714
141	46.80851064
142	46.47887324
143	46.15384615
144	46.52777778
145	46.20689655
146	46.57534247
147	46.93877551
148	46.62162162
149	46.97986577
150	47.33333333
151	47.01986755
152	46.71052632
153	47.05882353
154	47.40259740
155	47.09677419
156	47.43589744
157	47.13375796
158	47.46835443
159	47.16981132
160	47.50000000
161	47.20496894
162	46.91358025
163	47.23926380
164	46.95121951
165	46.66666667
166	46.98795181
167	46.70658683
168	47.02380952
169	46.74556213
170	46.47058824
171	46.78362573
172	46.51162791
173	46.24277457
174	46.55172414
175	46.85714286
176	46.59090909
177	46.32768362
178	46.06741573
179	46.36871508
180	46.11111111
181	45.85635359
182	46.15384615
183	46.44808743
184	46.19565217
185	45.94594595
186	45.69892473
187	45.45454545
188	45.21276596
189	44.97354497
190	44.73684211
191	45.02617801
192	44.79166667
193	44.55958549
194	44.32989691
195	44.10256410
196	43.87755102
197	44.16243655
198	43.93939394
199	44.22110553
200	44.00000000
201	44.27860697
202	44.55445545
203	44.33497537
204	44.11764706
205	44.39024390
206	44.17475728
207	44.44444444
208	44.23076923
209	44.01913876
210	43.80952381
211	43.60189573
212	43.39622642
213	43.19248826
214	43.45794393
215	43.25581395
216	43.05555556
217	43.31797235
218	43.11926606
219	43.37899543
220	43.18181818
221	43.43891403
222	43.24324324
223	43.04932735
224	42.85714286
225	43.11111111
226	43.36283186
227	43.17180617
228	43.42105263
229	43.23144105
230	43.47826087
231	43.29004329
232	43.53448276
233	43.77682403
234	43.58974359
235	43.40425532
236	43.22033898
237	43.45991561
238	43.69747899
239	43.51464435
240	43.33333333
241	43.56846473
242	43.80165289
243	43.62139918
244	43.85245902
245	43.67346939
246	43.90243902
247	43.72469636
248	43.95161290
249	44.17670683
250	44.00000000
251	44.22310757
252	44.44444444
253	44.26877470
254	44.09448819
255	43.92156863
256	43.75000000
257	43.96887160
258	44.18604651
259	44.01544402
260	43.84615385
261	44.06130268
262	43.89312977
263	43.72623574
264	43.93939394
265	44.15094340
266	44.36090226
267	44.19475655
268	44.02985075
269	43.86617100
270	44.07407407
271	43.91143911
272	44.11764706
273	43.95604396
274	44.16058394
275	44.36363636
276	44.20289855
277	44.40433213
278	44.24460432
279	44.08602151
280	44.28571429
281	44.12811388
282	43.97163121
283	44.16961131
284	44.01408451
285	43.85964912
286	43.70629371
287	43.55400697
288	43.75000000
289	43.59861592
290	43.79310345
291	43.64261168
292	43.49315068
293	43.68600683
294	43.53741497
295	43.38983051
296	43.58108108
297	43.43434343
298	43.28859060
299	43.14381271
300	43.33333333
301	43.18936877
302	43.37748344
303	43.23432343
304	43.09210526
305	42.95081967
306	43.13725490
307	42.99674267
308	42.85714286
309	42.71844660
310	42.58064516
311	42.44372990
312	42.30769231
313	42.17252396
314	42.03821656
315	41.90476190
316	41.77215190
317	41.64037855
318	41.50943396
319	41.37931034
320	41.25000000
321	41.12149533
322	40.99378882
323	41.17647059
324	41.04938272
325	41.23076923
326	41.10429448
327	41.28440367
328	41.46341463
329	41.33738602
330	41.21212121
331	41.38972810
332	41.56626506
333	41.44144144
334	41.61676647
335	41.49253731
336	41.36904762
337	41.54302671
338	41.71597633
339	41.88790560
340	42.05882353
341	41.93548387
342	42.10526316
343	41.98250729
344	41.86046512
345	41.73913043
346	41.61849711
347	41.49855908
348	41.37931034
349	41.26074499
350	41.42857143
351	41.59544160
352	41.47727273
353	41.64305949
354	41.52542373
355	41.40845070
356	41.57303371
357	41.45658263
358	41.34078212
359	41.22562674
360	41.11111111
361	41.27423823
362	41.16022099
363	41.32231405
364	41.20879121
365	41.36986301
366	41.25683060
367	41.14441417
368	41.03260870
369	40.92140921
370	41.08108108
371	41.23989218
372	41.12903226
373	41.28686327
374	41.17647059
375	41.33333333
376	41.48936170
377	41.37931034
378	41.26984127
379	41.16094987
380	41.31578947
381	41.20734908
382	41.36125654
383	41.25326371
384	41.14583333
385	41.29870130
386	41.45077720
387	41.34366925
388	41.23711340
389	41.13110540
390	41.02564103
391	40.92071611
392	40.81632653
393	40.71246819
394	40.86294416
395	41.01265823
396	40.90909091
397	41.05793451
398	41.20603015
399	41.10275689
400	41.00000000
401	41.14713217
402	41.04477612
403	41.19106700
404	41.08910891
405	40.98765432
406	41.13300493
407	41.27764128
408	41.42156863
409	41.56479218
410	41.70731707
411	41.60583942
412	41.74757282
413	41.64648910
414	41.78743961
415	41.92771084
416	41.82692308
417	41.96642686
418	41.86602871
419	41.76610979
420	41.90476190
421	41.80522565
422	41.94312796
423	42.08037825
424	42.21698113
425	42.11764706
426	42.25352113
